상품이름,할인전가격,할인후가격,할인율,"상품용량
(숫자만)","상품설명
(chatGPT 이용)","카테고리1
(강아지/고양이/공용)
(D/C/Z)","카테고리2
(사료/간식/용품)
(1/2/3)","카테고리3
(주니어/어덜트/시니어/공용)
(j/a/s/z)(임의로 넣기)",auto increment,상품코드,긴 상품 설명,
시저 연어와 감자 캔 3개입,6200,6200,0,3,"연어와 감자를 사용한 고양이 캔 사료로, 맛있는 고기와 채소를 함께 제공합니다.",D,2,z,043,D2z043,"시저 연어와 감자 캔 3개입은 반려견을 위한 고급 습식 사료입니다. 신선한 연어와 감자가 주원료로 사용되어 풍부한 영양을 제공합니다. 고단백 저지방 사료로 반려견의 건강과 활력을 유지해줍니다. 촉촉한 식감과 맛있는 풍미로 까다로운 반려견의 입맛도 사로잡습니다. 각 캔은 개별 포장되어 있어 신선함을 유지하며, 편리하게 급여할 수 있습니다. 주식 또는 간식으로 이상적인 선택입니다.",
자연소재 오리고기 육포스틱 460g,12700,12700,0,460,"오리고기로 만든 강아지 간식으로, 부드럽고 맛있습니다.",D,2,z,044,D2z044,"자연소재 오리고기 육포스틱 460g은 반려견을 위한 건강한 간식입니다. 고품질 오리고기를 사용하여 단백질이 풍부하며, 인공 첨가물 없이 자연의 맛을 그대로 담았습니다. 쫄깃한 식감으로 반려견의 씹는 즐거움을 더해주고, 간편한 스틱 형태로 급여가 용이합니다. 소화가 잘 되는 성분들로 구성되어 있어 모든 연령대의 반려견이 안전하게 먹을 수 있습니다. 대용량 포장으로 경제적이며, 훈련 시에도 유용하게 사용할 수 있습니다.",
밥이보약 CAT 걱정없는 헤어볼 2kg,27800,27800,0,2000,고양이 털 관리에 도움을 주는 사료입니다.,C,1,z,045,C1z045,"밥이보약 CAT 걱정없는 헤어볼 2kg은 반려묘를 위한 특별한 사료입니다. 헤어볼 문제를 해결하기 위해 고안된 성분들이 포함되어 있어 반려묘의 소화 건강을 지원합니다. 고품질 단백질과 필수 비타민, 미네랄이 함유되어 있어 반려묘의 건강과 활력을 유지해줍니다. 균형 잡힌 영양소로 피부와 털 건강에도 도움을 줍니다. 정기적으로 급여하면 반려묘의 헤어볼 문제를 효과적으로 관리할 수 있습니다.",
포켄스 덴티페어리 SS 150g,9900,9900,0,150,작은 크기의 치아 청결 간식을 편리하게 사용할 수 있는 디스펜서입니다.,D,2,z,046,D2z046,"포켄스 덴티페어리 SS 150g은 소형견을 위한 덴탈 간식입니다. 특별히 고안된 텍스처가 치아 사이의 플라크와 치석을 제거하는 데 도움을 주며, 입냄새를 개선해줍니다. 소형견이 씹기 좋은 크기와 부드러운 질감으로 안전하게 먹을 수 있습니다. 정기적으로 급여하면 반려견의 구강 건강을 효과적으로 관리할 수 있습니다. 맛과 건강을 동시에 챙길 수 있는 완벽한 간식입니다.",
챠오 츄르 가다랑어포 4개입,3000,3000,0,4,"가다랑어포로 만든 고양이 간식으로, 영양가 높고 맛있습니다.",C,2,z,047,C2z047,"챠오 츄르 가다랑어포 4개입은 반려묘를 위한 맛있는 간식입니다. 신선한 가다랑어를 사용하여 만든 츄르 타입으로, 반려묘가 쉽게 먹을 수 있습니다. 고단백 저지방 간식으로 체중 관리에 도움을 주며, 각 개별 포장으로 신선함을 유지합니다. 훈련 시 보상 간식으로 사용하기 좋고, 반려묘의 기분 전환에도 이상적입니다. 간편하게 짜먹일 수 있는 형태로 외출 시에도 편리하게 급여할 수 있습니다.",
포비스 귀세정제 100ml,5600,5600,0,100,강아지의 귀를 청결하게 해주는 세정제입니다.,D,3,z,048,D3z048,"포비스 귀세정제 100ml은 반려동물의 귀 건강을 위해 특별히 제작된 제품입니다. 귀 속의 불순물과 귀지를 효과적으로 제거하며, 귀 건강을 유지하는 데 도움을 줍니다. 피부에 자극을 주지 않는 안전한 성분으로 만들어져 반려동물이 불편함 없이 사용할 수 있습니다. 정기적으로 사용하면 귀 질환을 예방할 수 있으며, 간편한 사용법으로 누구나 쉽게 사용할 수 있습니다.",
밥이보약 CAT NO스트레스 2kg,27800,27800,0,2000,고양이 스트레스 관리에 도움을 주는 사료입니다.,C,1,z,049,C1z049,"밥이보약 CAT NO스트레스 2kg은 반려묘를 위한 스트레스 완화 사료입니다. 스트레스 완화 성분이 포함되어 있어 반려묘의 정서적 안정을 도와줍니다. 고품질 단백질과 필수 비타민, 미네랄이 함유되어 있어 반려묘의 건강과 활력을 유지해줍니다. 균형 잡힌 영양소로 피부와 털 건강에도 도움을 줍니다. 정기적으로 급여하면 반려묘의 스트레스를 효과적으로 관리할 수 있습니다.",
헬씨미요 고양이간식참치슬라이스50g,7200,7200,0,50,"참치로 만든 고양이 간식으로, 건강한 털과 피부를 지원합니다.",C,2,z,050,C2z050,"헬씨미요 고양이간식 참치 슬라이스 50g은 신선한 참치를 사용하여 만든 건강한 간식입니다. 고단백 저지방으로 반려묘의 건강과 체중 관리를 동시에 할 수 있습니다. 인공 첨가물 없이 자연 그대로의 맛을 담아, 까다로운 입맛의 고양이도 만족시킵니다. 슬라이스 형태로 쉽게 급여할 수 있으며, 훈련 시 보상 간식으로도 이상적입니다. 반려묘의 기분 전환과 영양 보충에 탁월한 선택입니다.",
건강백서 건강한 관절 2kg,26300,26300,0,2000,강아지의 관절 건강을 지원하는 사료입니다.,D,1,z,051,D1z051,"건강백서 건강한 관절 2kg은 반려견의 관절 건강을 위한 특별한 사료입니다. 글루코사민과 콘드로이틴이 함유되어 있어 관절과 연골을 보호하고 강화합니다. 고품질 단백질과 필수 비타민, 미네랄이 균형 있게 포함되어 있어 반려견의 전반적인 건강을 지원합니다. 소화가 잘 되는 성분들로 구성되어 있어 소화기 건강에도 도움을 줍니다. 정기적으로 급여하면 반려견의 관절 건강을 효과적으로 관리할 수 있습니다.",
몰리스 크런치홀릭 연어 60g,2800,2800,0,60,"연어로 만든 강아지 간식으로, 씹는 재미가 있는 크런치 형태입니다.",C,2,z,052,C2z052,"몰리스 크런치홀릭 연어 60g은 반려견을 위한 맛있는 간식입니다. 신선한 연어를 사용하여 고단백 저지방으로 만들어졌습니다. 바삭한 크런치 질감이 반려견의 씹는 재미를 더해주며, 구강 건강에도 도움을 줍니다. 소형 포장으로 휴대가 간편하여 외출 시에도 쉽게 급여할 수 있습니다. 훈련 간식으로도 이상적이며, 반려견의 입맛을 사로잡는 최고의 간식입니다.",
해피밀 황태와 소고기 1.2kg,18900,18900,0,1200,"황태와 소고기를 사용한 고양이 사료로, 건강한 영양을 제공합니다.",D,1,z,053,D1z053,"해피밀 황태와 소고기 1.2kg은 반려견을 위한 영양가 높은 사료입니다. 신선한 황태와 소고기가 주원료로 사용되어 단백질이 풍부하고, 반려견의 근육과 뼈 건강을 지원합니다. 오메가-3와 오메가-6 지방산이 포함되어 있어 피부와 털 건강에도 도움을 줍니다. 균형 잡힌 영양소로 반려견의 전반적인 건강과 활력을 유지합니다. 모든 연령대의 반려견이 안전하게 먹을 수 있는 건강한 사료입니다.",
포켄스 덴티페어리 디스펜서 S 80개입,35000,35000,0,80,작은 크기의 치아 청결 간식을 편리하게 사용할 수 있는 디스펜서입니다.,D,2,z,054,D2z054,"포켄스 덴티페어리 디스펜서 S 80개입은 소형견을 위한 편리한 덴탈 간식입니다. 디스펜서 형태로 간편하게 한 개씩 꺼내 급여할 수 있으며, 특별히 고안된 텍스처가 치아 사이의 플라크와 치석을 제거하는 데 도움을 줍니다. 입냄새를 개선하고 구강 건강을 유지하는 데 효과적입니다. 소형견이 씹기 좋은 크기와 부드러운 질감으로 안전하게 먹을 수 있습니다. 맛과 건강을 동시에 챙길 수 있는 완벽한 간식입니다.",
해피밀 황태와 오리 1.2kg,17900,17900,0,1200,"황태와 오리를 사용한 고양이 사료로, 맛있고 영양가 높습니다.",D,1,z,055,D1z055,"해피밀 황태와 오리 1.2kg은 반려견을 위한 프리미엄 사료입니다. 신선한 황태와 오리가 주원료로 사용되어 단백질이 풍부하며, 반려견의 근육과 뼈 건강을 지원합니다. 오메가-3와 오메가-6 지방산이 포함되어 있어 피부와 털 건강에도 도움을 줍니다. 소화가 잘 되는 성분들로 구성되어 있어 소화기 건강을 지원합니다. 모든 연령대의 반려견이 안전하게 먹을 수 있는 건강한 사료입니다.",
국민 두부 고양이 모래(녹차),6900,6900,0,3000,"녹차 향이 나는 고양이 모래로, 냄새를 효과적으로 제어합니다.",C,3,z,056,C3z056,"국민 두부 고양이 모래(녹차)는 친환경적이고 경제적인 선택입니다. 두부를 원료로 사용하여 자연 분해가 가능하며, 고양이의 발톱에 덜 묻어 실내 청결을 유지하는 데 도움을 줍니다. 녹차 성분이 포함되어 있어 탈취 효과가 뛰어나고, 고양이 화장실의 냄새를 줄여줍니다. 가벼운 무게와 빠른 응고력으로 사용이 편리하며, 고양이와 집사 모두 만족할 수 있는 제품입니다.",
[위스카스 whiskas]주니어 오션피쉬 1.1kg,11900,11900,0,1100,"주니어 고양이를 위한 오션피쉬 맛의 사료로, 건강한 성장을 돕습니다.",C,1,j,057,C1j057,"[위스카스 whiskas]주니어 오션피쉬 1.1kg은 어린 고양이를 위한 균형 잡힌 영양 사료입니다. 신선한 오션피쉬가 주원료로 사용되어 단백질이 풍부하고, 성장기 고양이의 건강과 발육을 지원합니다. 필수 비타민과 미네랄이 함유되어 있어 면역력 증진과 피부 건강에 도움을 줍니다. 작은 알갱이 형태로 어린 고양이가 쉽게 먹을 수 있으며, 맛과 영양을 모두 갖춘 사료입니다.",
시저 소고기 캔 3개입,6200,6200,0,3,"소고기로 만든 고양이 캔 사료로, 고기의 맛을 즐길 수 있습니다.",D,2,z,058,D2z058,"시저 소고기 캔 3개입은 반려견을 위한 고급 습식 사료입니다. 신선한 소고기가 주원료로 사용되어 단백질이 풍부하며, 반려견의 근육과 뼈 건강을 지원합니다. 촉촉한 식감과 맛있는 풍미로 까다로운 입맛의 반려견도 만족시킵니다. 각 캔은 개별 포장되어 있어 신선함을 유지하며, 편리하게 급여할 수 있습니다. 주식 또는 간식으로 이상적인 선택입니다.",
내츄럴랩 건강한치즈 애견간식 요거트 스틱 100g,4900,4900,0,100,"요거트와 치즈를 사용한 강아지 간식으로, 소화에 좋습니다.",D,2,z,059,D2z059,"내츄럴랩 건강한치즈 애견간식 요거트 스틱 100g은 반려견을 위한 맛있는 간식입니다. 고품질 치즈와 요거트를 사용하여 단백질과 칼슘이 풍부하며, 반려견의 뼈와 치아 건강을 지원합니다. 부드러운 스틱 형태로 쉽게 씹고 소화할 수 있으며, 인공 첨가물 없이 자연 그대로의 맛을 제공합니다. 훈련 간식으로도 이상적이며, 반려견의 입맛을 만족시키는 최고의 간식입니다.",
THINK YOUR DOG TEETH 소가죽 우유껌 3P,6900,6900,0,210,"소가죽으로 만든 강아지용 우유껌으로, 이가 건강하게 관리됩니다.",D,2,z,060,D2z060,"THINK YOUR DOG TEETH 소가죽 우유껌 3P는 반려견의 구강 건강을 위한 특별한 간식입니다. 고품질 소가죽과 우유를 사용하여 만들어져 씹는 동안 치석과 플라크 제거에 도움을 줍니다. 입냄새를 줄여주고, 반려견의 치아와 잇몸을 건강하게 유지하는 데 효과적입니다. 안전한 성분으로 만들어져 반려견이 안심하고 먹을 수 있습니다. 하루 한 번, 반려견의 구강 건강을 관리하는 데 이상적인 간식입니다.",
포켄스 뉴트리션트릿 면역&영양 240g,18000,12600,0.3,240,면역력과 영양을 동시에 지원하는 강아지 간식입니다.,D,2,z,061,D2z061,"포켄스 뉴트리션트릿 면역&영양 240g은 반려견의 면역력과 영양을 강화하기 위한 특별한 간식입니다. 고품질 단백질과 비타민, 미네랄이 풍부하게 함유되어 있어 반려견의 전반적인 건강을 지원합니다. 면역력 증진 성분이 포함되어 있어 반려견이 건강하고 활기차게 지낼 수 있습니다. 소화가 잘 되는 성분들로 구성되어 있어 모든 연령대의 반려견이 안전하게 먹을 수 있습니다. 정기적으로 급여하면 반려견의 건강을 효과적으로 관리할 수 있습니다.",
펫스테이지 우드스틱S 217,9900,9900,0,1,"작은 사이즈의 강아지를 위한 우드스틱으로, 씹는 재미를 제공합니다.",D,3,z,062,D3z062,"펫스테이지 우드스틱S 217은 반려견의 구강 건강과 스트레스 해소를 위한 씹기 장난감입니다. 내구성이 강한 우드스틱으로 반려견이 오랫동안 씹을 수 있으며, 씹는 동안 치아와 잇몸 건강에 도움을 줍니다. 자연스러운 나무 향이 반려견의 씹는 재미를 더해주고, 스트레스 해소에도 효과적입니다. 안전한 소재로 만들어져 반려견이 안심하고 사용할 수 있으며, 다양한 크기의 반려견에게 적합합니다.",
포켄스 덴탈스틱 후레시 오메가3 S 작은별 220g,10500,10500,0,220,작은별 모양의 오메가 3가 들어간 치아 관리 간식입니다.,D,2,z,063,D2z063,"포켄스 덴탈스틱 후레시 오메가3 S 작은별 220g은 소형 반려견을 위한 프리미엄 덴탈 간식입니다. 오메가-3 지방산이 풍부하게 함유되어 있어 반려견의 피부와 털 건강을 증진시키며, 구강 건강도 동시에 챙길 수 있습니다. 특별히 고안된 텍스처가 치아 사이의 플라크와 치석을 효과적으로 제거하여 입냄새를 줄여줍니다. 소형견이 쉽게 씹을 수 있는 크기와 부드러운 질감으로 안전하게 먹을 수 있으며, 정기적으로 급여하면 반려견의 구강 건강을 효과적으로 관리할 수 있습니다. 220g 대용량 포장으로 경제적이며, 반려견의 입맛을 사로잡는 최고의 덴탈 간식입니다.",
